recording_id,source,source_url,download_url,file_name,local_path,genus,species,species_latin,species_common_en,group,country,location,latitude,longitude,altitude_m,date_recorded,time_recorded,uploaded_date,recordist,license_url,license_class,quality,sound_type,sex,life_stage,method,animal_seen,playback_used,temperature_c,device,microphone,sample_rate_hz,duration_text,duration_s,remarks,quality_flag,usable_for_training,usable_for_public_release,split,notes
1107227,xeno-canto,https://xeno-canto.org/1107227,https://xeno-canto.org/1107227/download,XC1107227-Gryllus-campestris_song_Torresmenudas_090526_2010.wav,,Gryllus,campestris,Gryllus campestris,Field Cricket,grasshoppers,Spain,"La Armuña (near  Torresmenudas), Salamanca, Castile and León",41.1059,-5.7868,800,2026-05-09,20:10,2026-05-10,João Ferreira Tomás,https://creativecommons.org/licenses/by-nc-sa/4.0/,non_commercial,A,calling song,uncertain,uncertain,field recording,no,no,,Zoom H5,Telinga PRO-X V.2,44100,0:25,25.0,At the edge of the track.,ok,yes,no,,
1104491,xeno-canto,https://xeno-canto.org/1104491,https://xeno-canto.org/1104491/download,XC1104491-grillon-champeter.wav,,Gryllus,campestris,Gryllus campestris,Field Cricket,grasshoppers,France,"Arrondissement d'Orléans (near  Saint-Cyr-en-Val), Loiret, Centre-Val de Loire",47.8388,1.9525,110,2026-05-01,22:00,2026-05-01,Timeo CONSTANT,https://creativecommons.org/licenses/by-nc-sa/4.0/,non_commercial,A,calling song,,,field recording,no,no,22.0,sony ICD UX360,Primo EM 272,44100,0:45,45.0,,ok,yes,no,,
1101761,xeno-canto,https://xeno-canto.org/1101761,https://xeno-canto.org/1101761/download,XC1101761-Gryllus-campestris_song_Valdelosa-sur_180426_1136.wav,,Gryllus,campestris,Gryllus campestris,Field Cricket,grasshoppers,Spain,"Tierra de Ledesma (near  Valdelosa), Salamanca, Castile and León",41.1519,-5.7685,800,2026-04-18,11:36,2026-04-20,João Ferreira Tomás,https://creativecommons.org/licenses/by-nc-sa/4.0/,non_commercial,A,calling song,male,uncertain,field recording,no,no,,Zoom H5,Telinga PRO-X V.2,44100,3:11,191.0,,ok,yes,no,,
1099399,xeno-canto,https://xeno-canto.org/1099399,https://xeno-canto.org/1099399/download,XC1099399-Feldgrille.mp3,,Gryllus,campestris,Gryllus campestris,Field Cricket,grasshoppers,Germany,"Breisgau-Hochschwarzwald (near  Vogtsburg), Freiburg, Baden-Württemberg",48.0993,7.6893,380,2026-04-06,18:00,2026-04-15,Henning Pehlemann,https://creativecommons.org/licenses/by-nc-sa/4.0/,non_commercial,A,calling song,male,adult,field recording,yes,no,16.0,iPhone,internal microphone,44100,0:31,31.0,,ok,yes,no,,
1095680,xeno-canto,https://xeno-canto.org/1095680,https://xeno-canto.org/1095680/download,XC1095680-G-campestris-n09_Chanteix-19_250505_2225_0874S1+++.wav,,Gryllus,campestris,Gryllus campestris,Field Cricket,grasshoppers,France,"Corrèze, Chanteix",45.3118,1.6355,384,2025-05-05,22:25,2026-04-09,Julien Barataud,https://creativecommons.org/licenses/by-sa/4.0/,open,A,calling song,male,adult,field recording,yes,no,9.0,Tascam DR-70D,Rode NTG4+,96000,0:34,34.0,"nocturnal song, original file name: G-campestris-n09\_Chanteix-19\_250505\_2225\_0874S1+++.wav, observationlink: https://www.faune-france.org/index.php?m\_id=54&id=158297319",ok,yes,yes,,
1095679,xeno-canto,https://xeno-canto.org/1095679,https://xeno-canto.org/1095679/download,XC1095679-G-campestris-n09_Chanteix-19_250505_2221_0873S1+++.wav,,Gryllus,campestris,Gryllus campestris,Field Cricket,grasshoppers,France,"Corrèze, Chanteix",45.3118,1.6355,384,2025-05-05,22:21,2026-04-09,Julien Barataud,https://creativecommons.org/licenses/by-sa/4.0/,open,A,calling song,male,adult,field recording,yes,no,9.0,Tascam DR-70D,Rode NTG4+,96000,0:45,45.0,"nocturnal song, original file name: G-campestris-n09\_Chanteix-19\_250505\_2221\_0873S1+++.wav, observationlink: https://www.faune-france.org/index.php?m\_id=54&id=158297319",ok,yes,yes,,
1095678,xeno-canto,https://xeno-canto.org/1095678,https://xeno-canto.org/1095678/download,XC1095678-G-campestris-d28_Chanteix-19_250617_1749_0876S1+++.wav,,Gryllus,campestris,Gryllus campestris,Field Cricket,grasshoppers,France,"Corrèze, Chanteix",45.32,1.6353,387,2025-06-17,17:49,2026-04-09,Julien Barataud,https://creativecommons.org/licenses/by-sa/4.0/,open,A,calling song,male,adult,field recording,yes,no,28.0,Tascam DR-70D,Rode NTG4+,96000,0:49,49.0,"diurnal song, original file name: G-campestris-d28\_Chanteix-19\_250617\_1749\_0876S1+++.wav, observationlink: https://www.faune-france.org/index.php?m\_id=54&id=160696459",ok,yes,yes,,
1095677,xeno-canto,https://xeno-canto.org/1095677,https://xeno-canto.org/1095677/download,XC1095677-G-campestris-d28_Chanteix-19_250617_1747_0875S1+++.wav,,Gryllus,campestris,Gryllus campestris,Field Cricket,grasshoppers,France,"Corrèze, Chanteix",45.32,1.6353,387,2025-06-17,17:47,2026-04-09,Julien Barataud,https://creativecommons.org/licenses/by-sa/4.0/,open,A,calling song,male,adult,field recording,yes,no,28.0,Tascam DR-70D,Rode NTG4+,96000,0:48,48.0,"diurnal song, original file name: G-campestris-d28\_Chanteix-19\_250617\_1747\_0875S1+++.wav, observationlink: https://www.faune-france.org/index.php?m\_id=54&id=160696459",ok,yes,yes,,
1067362,xeno-canto,https://xeno-canto.org/1067362,https://xeno-canto.org/1067362/download,"XC1067362-Сверчок-0611_230654,Атрать,парк,-ААВ.wav",,Gryllus,campestris,Gryllus campestris,Field Cricket,grasshoppers,Russian Federation,"Atrat', Alatyrskiy Rayon, Chuvashia Republic",55.0086,46.6461,90,2024-06-11,23:30,2025-12-22,Albert Lastukhin,https://creativecommons.org/licenses/by-nc-nd/4.0/,no_derivatives,A,calling song,male,adult,field recording,no,no,23.0,,,44100,0:56,56.0,,ok,no,no,,
1064823,xeno-canto,https://xeno-canto.org/1064823,https://xeno-canto.org/1064823/download,XC1064823-Veldkrekel-15-5-24.mp3,,Gryllus,campestris,Gryllus campestris,Field Cricket,grasshoppers,Netherlands,"Telpost Brobbelbies Zuid (Najaar) (near  Uden), Uden, Noord-Brabant",51.6996,5.6167,20,2024-05-15,10:30,2025-12-16,Noud van den Berg,https://creativecommons.org/licenses/by-nc-sa/4.0/,non_commercial,A,,male,adult,field recording,yes,no,,Samsung Galaxy,,44100,0:40,40.0,,ok,yes,no,,
