recording_id,source,source_url,download_url,file_name,local_path,genus,species,species_latin,species_common_en,group,country,location,latitude,longitude,altitude_m,date_recorded,time_recorded,uploaded_date,recordist,license_url,license_class,quality,sound_type,sex,life_stage,method,animal_seen,playback_used,temperature_c,device,microphone,sample_rate_hz,duration_text,duration_s,remarks,quality_flag,usable_for_training,usable_for_public_release,split,notes
1095719,xeno-canto,https://xeno-canto.org/1095719,https://xeno-canto.org/1095719/download,XC1095719-L-punctatissima_P-nana-n16_Lureuil-36_2025-09-17_21_29_27_M00009++rep-femelle.wav,,Leptophyes,punctatissima,Leptophyes punctatissima,Speckled Bush-cricket,grasshoppers,France,"Indre, Lureuil",46.7406,1.0513,140,2025-09-17,21:29,2026-04-09,Julien Barataud,https://creativecommons.org/licenses/by-sa/4.0/,open,A,"calling song, female song","female, male",adult,field recording,yes,no,16.0,Pettersson D1000x,,384000,0:29,29.0,"nocturnal song, original file name: L-punctatissima\_P-nana-n16\_Lureuil-36\_2025-09-17\_21\_29\_27\_M00009++rep-femelle.wav, observationlink: https://www.faune-france.org/index.php?m\_id=54&id=163556072",ok,yes,yes,,
1029417,xeno-canto,https://xeno-canto.org/1029417,https://xeno-canto.org/1029417/download,XC1029417-20250725_221134.wav,,Leptophyes,punctatissima,Leptophyes punctatissima,Speckled Bush-cricket,grasshoppers,Greece,"Epirus, Kalithea, Holy Cross",40.0181,20.6967,420,2025-07-25,22:00,2025-08-16,Baudewijn Odé,https://creativecommons.org/licenses/by-nc-sa/4.0/,non_commercial,A,"calling song, female song","female, male",adult,field recording,no,no,31.0,iphone,echo Meter Touch 2 Pro,256000,0:18,18.0,"TEOSS4, In several cases, the female answer can be heard shortly after the male calling song.",ok,yes,no,,
967731,xeno-canto,https://xeno-canto.org/967731,https://xeno-canto.org/967731/download,XC967731-L-punctatissima-n16_Clergoux-19_2021-08-31_22_32_00_M00053+++.wav,,Leptophyes,punctatissima,Leptophyes punctatissima,Speckled Bush-cricket,grasshoppers,France,"Corrèze, Clergoux",45.2577,1.9355,557,2021-08-31,22:32,2025-02-03,Julien Barataud,https://creativecommons.org/licenses/by-sa/4.0/,open,A,calling song,male,adult,field recording,yes,no,16.0,Pettersson D1000x,,384000,0:51,51.0,"nocturnal song, original filename: L-punctatissima-n16_Clergoux-19_2021-08-31_22_32_00_M00053+++, observationlink: https://www.faune-france.org/index.php?m_id=54&id=108007991",ok,yes,yes,,
967730,xeno-canto,https://xeno-canto.org/967730,https://xeno-canto.org/967730/download,XC967730-L-punctatissima-n16_Clergoux-19_2021-08-31_22_25_42_M00052+++rep-femelle.wav,,Leptophyes,punctatissima,Leptophyes punctatissima,Speckled Bush-cricket,grasshoppers,France,"Corrèze, Clergoux",45.2577,1.9355,557,2021-08-31,22:25,2025-02-03,Julien Barataud,https://creativecommons.org/licenses/by-sa/4.0/,open,A,"calling song, female song","female, male",adult,field recording,yes,no,16.0,Pettersson D1000x,,384000,0:40,40.0,"nocturnal song, original filename: L-punctatissima-n16_Clergoux-19_2021-08-31_22_25_42_M00052+++rep-femelle, observationlink: https://www.faune-france.org/index.php?m_id=54&id=108007991",ok,yes,yes,,
1095716,xeno-canto,https://xeno-canto.org/1095716,https://xeno-canto.org/1095716/download,XC1095716-L-punctatissima_P-nana-n16_Bruncu-Spina-IT-OG_2025-09-08_20_59_40_M00019+.wav,,Leptophyes,punctatissima,Leptophyes punctatissima,Speckled Bush-cricket,grasshoppers,Italy,"Ogliastra, Villagrande Strisaili",40.0256,9.3007,1551,2025-09-08,20:59,2026-04-09,Julien Barataud,https://creativecommons.org/licenses/by-sa/4.0/,open,B,calling song,male,adult,field recording,yes,no,16.0,Pettersson D1000x,,384000,0:26,26.0,"nocturnal song, original file name: L-punctatissima\_P-nana-n16\_Bruncu-Spina-IT-OG\_2025-09-08\_20\_59\_40\_M00019+.wav, observationlink: https://www.ornitho.it/index.php?m\_id=54&id=28227596",ok,yes,yes,,
1095546,xeno-canto,https://xeno-canto.org/1095546,https://xeno-canto.org/1095546/download,XC1095546-L-punctatissima-d27_Burgos-IT-SS_2025-09-06_17_10_14_M00024+.wav,,Leptophyes,punctatissima,Leptophyes punctatissima,Speckled Bush-cricket,grasshoppers,Italy,"Sassari, Esporlatu",40.3984,8.9752,908,2025-09-06,17:10,2026-04-09,Julien Barataud,https://creativecommons.org/licenses/by-sa/4.0/,open,B,calling song,male,adult,field recording,yes,no,27.0,Pettersson D1000x,,384000,0:36,36.0,"diurnal song, original file name: L-punctatissima-d27\_Burgos-IT-SS\_2025-09-06\_17\_10\_14\_M00024+.wav, observationlink: https://www.ornitho.it/index.php?m\_id=54&id=28219294",ok,yes,yes,,
967732,xeno-canto,https://xeno-canto.org/967732,https://xeno-canto.org/967732/download,XC967732-L-punctatissima-n18_Chateauponsac-87_2020-08-07_00_13_29_M00013++.wav,,Leptophyes,punctatissima,Leptophyes punctatissima,Speckled Bush-cricket,grasshoppers,France,"Haute-Vienne, Châteauponsac",46.1263,1.3035,276,2020-08-07,00:13,2025-02-03,Julien Barataud,https://creativecommons.org/licenses/by-sa/4.0/,open,B,calling song,male,adult,field recording,yes,no,18.0,Pettersson D1000x,,384000,0:31,31.0,"nocturnal song, original filename: L-punctatissima-n18_Chateauponsac-87_2020-08-07_00_13_29_M00013++, observationlink: https://www.faune-france.org/index.php?m_id=54&id=93860184",ok,yes,yes,,
967727,xeno-canto,https://xeno-canto.org/967727,https://xeno-canto.org/967727/download,XC967727-L-punctatissima-n04_Vissec-30_2021-11-03_19_47_27_M00013++rep-femelle.wav,,Leptophyes,punctatissima,Leptophyes punctatissima,Speckled Bush-cricket,grasshoppers,France,"Gard, Vissec",43.9194,3.4361,719,2021-11-03,19:47,2025-02-03,Julien Barataud,https://creativecommons.org/licenses/by-sa/4.0/,open,B,"calling song, female song","female, male",adult,field recording,yes,no,4.0,Pettersson D1000x,,384000,0:33,33.0,"nocturnal song, original filename: L-punctatissima-n04_Vissec-30_2021-11-03_19_47_27_M00013++rep-femelle, observationlink: https://www.faune-france.org/index.php?m_id=54&id=109829812",ok,yes,yes,,
1029667,xeno-canto,https://xeno-canto.org/1029667,https://xeno-canto.org/1029667/download,XC1029667-Ctenodecticus-masferreri-20250813_174134.wav,,Leptophyes,punctatissima,Leptophyes punctatissima,Speckled Bush-cricket,grasshoppers,Spain,Collformic to Matagalls,41.805,2.3523,1296,2025-08-13,17:42,2025-08-17,Rafael Carbonell,https://creativecommons.org/licenses/by-nc/4.0/,non_commercial,C,calling song,male,adult,field recording,no,no,23.0,Smartphone Galaxy S8,Petersson u256 Ultrasound Microphone,256000,0:17,17.0,"At least two males singing, the nearest one at 0·96"", 4·09"", 7·24"" and at about 35 kHz.",review,no,no,,
1026578,xeno-canto,https://xeno-canto.org/1026578,https://xeno-canto.org/1026578/download,XC1026578-leptophyes_punctatissimaparm_macchia_050825-093343.wav,,Leptophyes,punctatissima,Leptophyes punctatissima,Speckled Bush-cricket,grasshoppers,Italy,"Macchia da Sole, TE",42.7424,13.5797,850,2025-08-05,09:30,2025-08-05,Dimitri,https://creativecommons.org/licenses/by-nc-sa/4.0/,non_commercial,C,calling song,,adult,field recording,yes,no,,Zoom H1n,,96000,0:39,39.0,Pasture with scattered bushes.,review,no,no,,
1013201,xeno-canto,https://xeno-canto.org/1013201,https://xeno-canto.org/1013201/download,XC1013201-leptophyes_punctatissima2_parm_macchia_080725-105957.wav,,Leptophyes,punctatissima,Leptophyes punctatissima,Speckled Bush-cricket,grasshoppers,Italy,"Macchia da Sole, TE",42.7424,13.5797,850,2025-07-08,11:30,2025-07-08,Dimitri,https://creativecommons.org/licenses/by-nc-sa/4.0/,non_commercial,C,calling song,,,field recording,no,no,23.0,Zoom H1n,,96000,0:37,37.0,Bramble bush.,review,no,no,,
967725,xeno-canto,https://xeno-canto.org/967725,https://xeno-canto.org/967725/download,XC967725-L-punctatissima-d24_capt-Aregno-2B_2019-07-07_09_16_15_M00017+.wav,,Leptophyes,punctatissima,Leptophyes punctatissima,Speckled Bush-cricket,grasshoppers,France,"Haute-Corse, Aregno",42.59,8.8694,67,2019-07-07,09:16,2025-02-03,Julien Barataud,https://creativecommons.org/licenses/by-sa/4.0/,open,C,calling song,male,adult,studio recording,yes,no,24.0,Pettersson D1000x,,384000,0:14,14.0,"diurnal song, original filename: L-punctatissima-d24_capt-Aregno-2B_2019-07-07_09_16_15_M00017+, observationlink: https://www.faune-france.org/index.php?m_id=54&id=79944712",review,no,no,,
1037559,xeno-canto,https://xeno-canto.org/1037559,https://xeno-canto.org/1037559/download,XC1037559-CM-006.wav,,Leptophyes,punctatissima,Leptophyes punctatissima,Speckled Bush-cricket,grasshoppers,Italy,"Villaga, Province of Vicenza, Veneto",45.4087,11.5155,340,2025-08-12,13:25,2025-09-10,Cedric Mroczko,https://creativecommons.org/licenses/by-nc-sa/4.0/,non_commercial,D,calling song,,,field recording,no,no,,Sound Devices MixPre3-II,Naiant XX stereo (1st gen.),192000,0:38,38.0,High-pass filtered. mixpre3 + xx stereo,review,no,no,,
1011065,xeno-canto,https://xeno-canto.org/1011065,https://xeno-canto.org/1011065/download,XC1011065-CM-006.wav,,Leptophyes,punctatissima,Leptophyes punctatissima,Speckled Bush-cricket,grasshoppers,Spain,"Alòs de Balaguer, Noguera, Lleida, Catalunya",41.9154,0.9595,320,2025-06-29,22:45,2025-07-02,Cedric Mroczko,https://creativecommons.org/licenses/by-nc-sa/4.0/,non_commercial,D,calling song,,,field recording,no,no,,Sound Devices MixPre3 mkII,Naïant XX stereo (1st gen.),192000,0:11,11.0,High-pass filtered. mixpre3 + xx,review,no,no,,
967734,xeno-canto,https://xeno-canto.org/967734,https://xeno-canto.org/967734/download,XC967734-L-punctatissima-n23_St-Robert-19_2018-08-27_22_38_35_M00005.wav,,Leptophyes,punctatissima,Leptophyes punctatissima,Speckled Bush-cricket,grasshoppers,France,"Corrèze, Saint-Robert",45.2621,1.2998,303,2018-08-27,22:38,2025-02-03,Julien Barataud,https://creativecommons.org/licenses/by-sa/4.0/,open,D,calling song,male,adult,field recording,yes,no,23.0,Pettersson D1000x,,384000,0:15,15.0,"nocturnal song, original filename: L-punctatissima-n23_St-Robert-19_2018-08-27_22_38_35_M00005, observationlink: https://www.faune-france.org/index.php?m_id=54&id=71474460",review,no,no,,
967733,xeno-canto,https://xeno-canto.org/967733,https://xeno-canto.org/967733/download,XC967733-L-punctatissima-n23_Ayen-19_2018-08-27_23_14_15_M00007.wav,,Leptophyes,punctatissima,Leptophyes punctatissima,Speckled Bush-cricket,grasshoppers,France,"Corrèze, Ayen",45.2511,1.3112,288,2018-08-27,23:14,2025-02-03,Julien Barataud,https://creativecommons.org/licenses/by-sa/4.0/,open,D,calling song,male,adult,field recording,yes,no,23.0,Pettersson D1000x,,384000,0:11,11.0,"nocturnal song, original filename: L-punctatissima-n23_Ayen-19_2018-08-27_23_14_15_M00007, observationlink: https://www.faune-france.org/index.php?m_id=54&id=71474463",review,no,no,,
967729,xeno-canto,https://xeno-canto.org/967729,https://xeno-canto.org/967729/download,XC967729-L-punctatissima-n07_Chanteix-19_2018-10-01_22_26_27_M00104.wav,,Leptophyes,punctatissima,Leptophyes punctatissima,Speckled Bush-cricket,grasshoppers,France,"Corrèze, Chanteix",45.312,1.6365,385,2018-10-01,22:26,2025-02-03,Julien Barataud,https://creativecommons.org/licenses/by-sa/4.0/,open,D,calling song,male,adult,field recording,yes,no,7.0,Pettersson D1000x,,384000,0:47,47.0,"nocturnal song, original filename: L-punctatissima-n07_Chanteix-19_2018-10-01_22_26_27_M00104, observationlink: https://www.faune-france.org/index.php?m_id=54&id=73000843",review,no,no,,
967728,xeno-canto,https://xeno-canto.org/967728,https://xeno-canto.org/967728/download,XC967728-L-punctatissima-n05_Latour-de-Carol-66_2020-10-18_22_27_46_M00023.wav,,Leptophyes,punctatissima,Leptophyes punctatissima,Speckled Bush-cricket,grasshoppers,France,"Pyrénées-Orientales, Latour-de-Carol",42.4663,1.8927,1285,2020-10-18,22:27,2025-02-03,Julien Barataud,https://creativecommons.org/licenses/by-sa/4.0/,open,D,calling song,male,adult,field recording,yes,no,5.0,Pettersson D1000x,,384000,2:53,173.0,"nocturnal song, original filename: L-punctatissima-n05_Latour-de-Carol-66_2020-10-18_22_27_46_M00023, observationlink: https://www.faune-france.org/index.php?m_id=54&id=95711566",review,no,no,,
967726,xeno-canto,https://xeno-canto.org/967726,https://xeno-canto.org/967726/download,XC967726-L-punctatissima-d29_Meyrueis-48_2017-08-28_15_36_30_M00114.wav,,Leptophyes,punctatissima,Leptophyes punctatissima,Speckled Bush-cricket,grasshoppers,France,"Lozère, Meyrueis",44.1947,3.4535,777,2017-08-28,15:36,2025-02-03,Julien Barataud,https://creativecommons.org/licenses/by-sa/4.0/,open,D,calling song,male,adult,field recording,yes,no,29.0,Pettersson D1000x,,384000,0:19,19.0,"diurnal song, original filename: L-punctatissima-d29_Meyrueis-48_2017-08-28_15_36_30_M00114, observationlink: https://www.faune-france.org/index.php?m_id=54&id=61279040",review,no,no,,
967724,xeno-canto,https://xeno-canto.org/967724,https://xeno-canto.org/967724/download,XC967724-L-punctatissima-d22_Brigue-06_2017-08-24_17_49_42_M00064.wav,,Leptophyes,punctatissima,Leptophyes punctatissima,Speckled Bush-cricket,grasshoppers,France,"Alpes-Maritimes, Brigue (La)",44.1019,7.6686,1653,2017-08-24,17:49,2025-02-03,Julien Barataud,https://creativecommons.org/licenses/by-sa/4.0/,open,D,calling song,male,adult,field recording,yes,no,22.0,Pettersson D1000x,,384000,0:29,29.0,"diurnal song, original filename: L-punctatissima-d22_Brigue-06_2017-08-24_17_49_42_M00064, observationlink: https://www.faune-france.org/index.php?m_id=54&id=61279123",review,no,no,,
967723,xeno-canto,https://xeno-canto.org/967723,https://xeno-canto.org/967723/download,XC967723-L-punctatissima-d20_Chanteix-19_2018-09-22_14_01_35_M00081.wav,,Leptophyes,punctatissima,Leptophyes punctatissima,Speckled Bush-cricket,grasshoppers,France,"Corrèze, Chanteix",45.312,1.6365,385,2018-09-22,14:01,2025-02-03,Julien Barataud,https://creativecommons.org/licenses/by-sa/4.0/,open,D,calling song,male,adult,field recording,yes,no,20.0,Pettersson D1000x,,384000,0:04,4.0,"diurnal song, original filename: L-punctatissima-d20_Chanteix-19_2018-09-22_14_01_35_M00081, observationlink: https://www.faune-france.org/index.php?m_id=54&id=73000843",review,no,no,,
967722,xeno-canto,https://xeno-canto.org/967722,https://xeno-canto.org/967722/download,XC967722-L-punctatissima-d20_Beaumont-du-Ventoux-84_2018-10-05_10_52_09_M00012.wav,,Leptophyes,punctatissima,Leptophyes punctatissima,Speckled Bush-cricket,grasshoppers,France,"Vaucluse, Beaumont-du-Ventoux",44.1833,5.258,1419,2018-10-05,10:52,2025-02-03,Julien Barataud,https://creativecommons.org/licenses/by-sa/4.0/,open,D,calling song,male,adult,field recording,yes,no,20.0,Pettersson D1000x,,384000,0:00,0.0,"diurnal song, original filename: L-punctatissima-d20_Beaumont-du-Ventoux-84_2018-10-05_10_52_09_M00012, observationlink: https://www.faune-france.org/index.php?m_id=54&id=72295793",review,no,no,,
