recording_id,source,source_url,download_url,file_name,local_path,genus,species,species_latin,species_common_en,group,country,location,latitude,longitude,altitude_m,date_recorded,time_recorded,uploaded_date,recordist,license_url,license_class,quality,sound_type,sex,life_stage,method,animal_seen,playback_used,temperature_c,device,microphone,sample_rate_hz,duration_text,duration_s,remarks,quality_flag,usable_for_training,usable_for_public_release,split,notes
1095466,xeno-canto,https://xeno-canto.org/1095466,https://xeno-canto.org/1095466/download,XC1095466-T-viridissima-d27_Puerto-Ragua-ES-GR_2025-08-16_16_52_22_M00039++.wav,,Tettigonia,viridissima,Tettigonia viridissima,Great Green Bush-cricket,grasshoppers,Spain,"Almería, Bayárcal",37.1069,-3.0248,2030,2025-08-16,16:52,2026-04-09,Julien Barataud,https://creativecommons.org/licenses/by-sa/4.0/,open,A,calling song,male,adult,field recording,yes,no,27.0,Pettersson D1000x,,384000,0:30,30.0,"diurnal song, original file name: T-viridissima-d27\_Puerto-Ragua-ES-GR\_2025-08-16\_16\_52\_22\_M00039++.wav, observationlink: https://observation.org/observation/368971421, TEOSS 5",ok,yes,yes,,
1086751,xeno-canto,https://xeno-canto.org/1086751,https://xeno-canto.org/1086751/download,XC1086751-Tettigoniaviridissima0000190.wav,,Tettigonia,viridissima,Tettigonia viridissima,Great Green Bush-cricket,grasshoppers,Germany,"Bielefeld, Hochschule HSBI (near  Bielefeld), Detmold, Nordrhein-Westfalen",52.0458,8.492,120,2018-07-10,11:30,2026-03-10,Howon Rhee,https://creativecommons.org/licenses/by-nc-nd/4.0/,no_derivatives,A,calling song,male,adult,studio recording,yes,yes,25.0,UltraSound Gate 116 Hb ,,300000,3:01,181.0,,review,no,no,,
1060773,xeno-canto,https://xeno-canto.org/1060773,https://xeno-canto.org/1060773/download,XC1060773-XC_Tettigonia-viridissima_Montcenis_02072025_2.wav,,Tettigonia,viridissima,Tettigonia viridissima,Great Green Bush-cricket,grasshoppers,France,"Arrondissement of Autun (near  Montcenis), Saône-et-Loire, Bourgogne-Franche-Comté",46.8042,4.3926,500,2025-07-02,22:00,2025-11-30,Lionel Triboulin,https://creativecommons.org/publicdomain/zero/1.0/,open,A,calling song,male,adult,field recording,no,no,,ZOOM H5,Dodotronic Hi-Sound Stereo Parabolic Microphone,44100,0:15,15.0,,ok,yes,yes,,
1060772,xeno-canto,https://xeno-canto.org/1060772,https://xeno-canto.org/1060772/download,XC1060772-XC_Tettigonia-viridissima_Montcenis_02072025_1.wav,,Tettigonia,viridissima,Tettigonia viridissima,Great Green Bush-cricket,grasshoppers,France,"Arrondissement of Autun (near  Montcenis), Saône-et-Loire, Bourgogne-Franche-Comté",46.8042,4.3926,500,2025-07-02,22:00,2025-11-30,Lionel Triboulin,https://creativecommons.org/publicdomain/zero/1.0/,open,A,calling song,male,adult,field recording,no,no,,ZOOM H5,Dodotronic Hi-Sound Stereo Parabolic Microphone,44100,0:07,7.0,,ok,yes,yes,,
1050271,xeno-canto,https://xeno-canto.org/1050271,https://xeno-canto.org/1050271/download,XC1050271-Tettigonia-viridissima-0825_235245-BB.wav,,Tettigonia,viridissima,Tettigonia viridissima,Great Green Bush-cricket,grasshoppers,Russian Federation,"Novokhopyorsky District, Voronezhskaya oblast",51.0381,41.5564,80,2014-08-25,00:00,2025-10-26,Albert Lastukhin,https://creativecommons.org/licenses/by-nc-nd/4.0/,no_derivatives,A,calling song,male,adult,field recording,no,no,20.0,,,44100,1:54,114.0,,ok,no,no,,
1050269,xeno-canto,https://xeno-canto.org/1050269,https://xeno-canto.org/1050269/download,XC1050269-Tettigonia-viridissima-0825_235245-A.wav,,Tettigonia,viridissima,Tettigonia viridissima,Great Green Bush-cricket,grasshoppers,Russian Federation,"Novokhopyorsky District, Voronezhskaya oblast",51.0381,41.5564,80,2014-08-25,00:00,2025-10-26,Albert Lastukhin,https://creativecommons.org/licenses/by-nc-nd/4.0/,no_derivatives,A,calling song,male,adult,field recording,no,no,20.0,,,44100,0:10,10.0,,ok,no,no,,
1048917,xeno-canto,https://xeno-canto.org/1048917,https://xeno-canto.org/1048917/download,XC1048917-240907_0021Orthoptera-2-pico-10.000-hz-rama-carballo-19º-Brandomil-sur..mp3,,Tettigonia,viridissima,Tettigonia viridissima,Great Green Bush-cricket,grasshoppers,Spain,"Embalse da Fervenza, Brandomil, , Zas, Galicia",43.0004,-8.9248,280,2024-09-07,19:00,2025-10-20,Jacobo Ramil Millarengo,https://creativecommons.org/licenses/by-nc-sa/4.0/,non_commercial,A,calling song,male,adult,field recording,yes,no,17.0,,,48000,0:13,13.0,Calling from a willow twig,ok,yes,no,,
1047161,xeno-canto,https://xeno-canto.org/1047161,https://xeno-canto.org/1047161/download,"XC1047161-Tettigonia-viridissima-R05_0011,-01.09.2025,-Цивильск,Опытный,-вейник,-20-25,+18,1.wav",,Tettigonia,viridissima,Tettigonia viridissima,Great Green Bush-cricket,grasshoppers,Russian Federation,"Tsivilsk, Tsivil'skiy Rayon, Chuvashia Republic",55.8489,47.4727,100,2025-09-01,20:30,2025-10-12,Albert Lastukhin,https://creativecommons.org/licenses/by-nc-nd/4.0/,no_derivatives,A,calling song,male,adult,field recording,no,no,,,,96000,0:10,10.0,,ok,no,no,,
1040858,xeno-canto,https://xeno-canto.org/1040858,https://xeno-canto.org/1040858/download,XC1040858-250920_01-Gräshoppa.wav,,Tettigonia,viridissima,Tettigonia viridissima,Great Green Bush-cricket,grasshoppers,Sweden,"Eka, Trögden, Uppland",59.5379,17.1991,0,2025-09-20,19:22,2025-09-21,Ulf Elman,https://creativecommons.org/licenses/by-nc-nd/4.0/,no_derivatives,A,,,,field recording,no,no,,Sony PCM M10,Parabol C,96000,0:36,36.0,"[SNR 51dB(ISO/ITU)](https://xeno-canto.org/article/275)*

[Obs på Artportalen](https://www.artportalen.se/Image/6243990)

*Manual calculation",ok,no,no,,
1040724,xeno-canto,https://xeno-canto.org/1040724,https://xeno-canto.org/1040724/download,"XC1040724-Tettigonia-viridissima-+Isophya-stepposa-ПК-R05_0058,2-км-В-Сунчелеево,-пасека,-лес-опушка,4-2+1.wav",,Tettigonia,viridissima,Tettigonia viridissima,Great Green Bush-cricket,grasshoppers,Russian Federation,"Miud, Aksubayevsky District, Republic of Tatarstan",54.6926,50.7429,90,2025-09-04,22:30,2025-09-20,Albert Lastukhin,https://creativecommons.org/licenses/by-nc-nd/4.0/,no_derivatives,A,calling song,male,adult,field recording,no,no,20.0,,,96000,0:11,11.0,,ok,no,no,,
