recording_id,source,source_url,download_url,file_name,local_path,genus,species,species_latin,species_common_en,group,country,location,latitude,longitude,altitude_m,date_recorded,time_recorded,uploaded_date,recordist,license_url,license_class,quality,sound_type,sex,life_stage,method,animal_seen,playback_used,temperature_c,device,microphone,sample_rate_hz,duration_text,duration_s,remarks,quality_flag,usable_for_training,usable_for_public_release,split,notes
1038551,xeno-canto,https://xeno-canto.org/1038551,https://xeno-canto.org/1038551/download,"XC1038551-Pholidoptera-griseoaptera-R05_0014,-09.09.2025,-Южный,травы,-+15,AAAB.wav",,Pholidoptera,griseoaptera,Pholidoptera griseoaptera,Dark Bush-cricket,grasshoppers,Russian Federation,"Cheboksary, Gorod Cheboksary, Chuvashia",56.0773,47.3007,140,2025-09-09,19:00,2025-09-12,Albert Lastukhin,https://creativecommons.org/licenses/by-nc-nd/4.0/,no_derivatives,A,calling song,male,adult,field recording,no,no,15.0,,,96000,0:41,41.0,,ok,no,no,,
1028742,xeno-canto,https://xeno-canto.org/1028742,https://xeno-canto.org/1028742/download,"XC1028742-(XC)-chant,-rivalité-Decticelle-cendrée_étang-du-Fort_14h31.wav",,Pholidoptera,griseoaptera,Pholidoptera griseoaptera,Dark Bush-cricket,grasshoppers,France,"Arrondissement de Lons-le-Saunier (near  Chapelle-Voland), Jura, Bourgogne-Franche-Comté",46.7843,5.4088,200,2025-07-06,14:31,2025-08-13,Gautier Laurent,https://creativecommons.org/licenses/by-nc-sa/4.0/,non_commercial,A,"calling song, rivalry song",,,field recording,no,no,,Zoom H5,Dodotronic Hi Sound Compact Parabolic Microphones,48000,1:08,68.0,HPF Equalizer 5kHz (-15dB / 20Hz),ok,yes,no,,
968627,xeno-canto,https://xeno-canto.org/968627,https://xeno-canto.org/968627/download,XC968627-P-griseoaptera-n11_Vigeois-19_20211015_213903+++.wav,,Pholidoptera,griseoaptera,Pholidoptera griseoaptera,Dark Bush-cricket,grasshoppers,France,"Corrèze, Vigeois",45.3659,1.5363,331,2021-10-15,21:39,2025-02-03,Julien Barataud,https://creativecommons.org/licenses/by-sa/4.0/,open,A,calling song,male,adult,field recording,yes,no,11.0,CAT S41,Pettersson U384,384000,0:29,29.0,"nocturnal song, original filename: P-griseoaptera-n11_Vigeois-19_20211015_213903+++, observationlink: https://www.faune-france.org/index.php?m_id=54&id=109245394",ok,yes,yes,,
968607,xeno-canto,https://xeno-canto.org/968607,https://xeno-canto.org/968607/download,XC968607-P-griseoaptera-c13_Chanteix-19_2019-09-23_20_51_05_M00003_cht-rivalite+++.wav,,Pholidoptera,griseoaptera,Pholidoptera griseoaptera,Dark Bush-cricket,grasshoppers,France,"Corrèze, Chanteix",45.3369,1.6322,375,2019-09-23,20:51,2025-02-03,Julien Barataud,https://creativecommons.org/licenses/by-sa/4.0/,open,A,"calling song, rivalry song",male,adult,field recording,yes,no,13.0,Pettersson D1000x,,384000,1:10,70.0,"crepuscular song, original filename: P-griseoaptera-c13_Chanteix-19_2019-09-23_20_51_05_M00003_cht-rivalite+++, observationlink: https://www.faune-france.org/index.php?m_id=54&id=82291259",ok,yes,yes,,
923303,xeno-canto,https://xeno-canto.org/923303,https://xeno-canto.org/923303/download,XC923303-240726_2322A-Gräshoppa.wav,,Pholidoptera,griseoaptera,Pholidoptera griseoaptera,Dark Bush-cricket,grasshoppers,Sweden,"Omberg, Vadstena, Östergötland",58.3283,14.6704,240,2024-07-26,01:45,2024-07-27,Ulf Elman,https://creativecommons.org/licenses/by-nc-nd/4.0/,no_derivatives,A,,,,field recording,no,no,,Tascam dr100 mk3,Parabol,192000,1:48,108.0,"[SNR 57dB(ISO/ITU)](https://xeno-canto.org/article/275)

It's song starts 00:12.5, up until then it sounds as it's climbering the recorder itself!

[Obs på Artportalen](https://artportalen.se/Image/5501065)",ok,no,no,,
1043320,xeno-canto,https://xeno-canto.org/1043320,https://xeno-canto.org/1043320/download,XC1043320-Unknown-20250914_210816-fragment.wav,,Pholidoptera,griseoaptera,Pholidoptera griseoaptera,Dark Bush-cricket,grasshoppers,Spain,"Garrotxa (near  Olot), Girona, Catalunya",42.1669,2.4864,440,2025-09-14,21:08,2025-09-27,Rafael Carbonell,https://creativecommons.org/licenses/by-nc-sa/4.0/,non_commercial,B,uncertain,male,adult,field recording,no,no,18.0,Smartphone Galaxy S8,Petersson u256 Ultrasound Microphone,256000,0:02,2.0,"This is a night recording in an oak forest with open areas. It was used an Ultrasound Microphone (Pettersson u256). Temperature about 18ºC. There is a nearby male of Pholidoptera griseoaptera, also a nearby female of Phaneroptera and a more distant male of Phaneroptera nana. The sonogram shows 3 seconds long segment, the lower frequencies filtered for clarity. The whole recording is 23 seconds long: https://www.inaturalist.org/observations/316154047",ok,yes,no,,
1041210,xeno-canto,https://xeno-canto.org/1041210,https://xeno-canto.org/1041210/download,XC1041210-B19h53m43s22sep2025.wav,,Pholidoptera,griseoaptera,Pholidoptera griseoaptera,Dark Bush-cricket,grasshoppers,France,"Vierzon, Cher, Centre-Val de Loire",47.2159,2.0202,100,2025-09-22,20:55,2025-09-22,Cedric Mroczko,https://creativecommons.org/licenses/by-nc-sa/4.0/,non_commercial,B,calling song,,,field recording,yes,no,11.0,Fostex FR2-LE,Sennheiser MKH8070,96000,1:34,94.0,High-pass filtered. fr2-le + mkh8070,ok,yes,no,,
1041208,xeno-canto,https://xeno-canto.org/1041208,https://xeno-canto.org/1041208/download,XC1041208-B19h46m24s22sep2025.wav,,Pholidoptera,griseoaptera,Pholidoptera griseoaptera,Dark Bush-cricket,grasshoppers,France,"Vierzon, Cher, Centre-Val de Loire",47.2159,2.0202,100,2025-09-22,20:45,2025-09-22,Cedric Mroczko,https://creativecommons.org/licenses/by-nc-sa/4.0/,non_commercial,B,calling song,,,field recording,yes,no,11.0,Fostex FR2-LE,Sennheiser MKH8070,96000,1:24,84.0,Same individual as XC1041206. High-pass filtered. fr2-le + mkh8070,ok,yes,no,,
1041206,xeno-canto,https://xeno-canto.org/1041206,https://xeno-canto.org/1041206/download,XC1041206-B19h41m29s22sep2025.wav,,Pholidoptera,griseoaptera,Pholidoptera griseoaptera,Dark Bush-cricket,grasshoppers,France,"Vierzon, Cher, Centre-Val de Loire",47.2159,2.0202,100,2025-09-22,20:40,2025-09-22,Cedric Mroczko,https://creativecommons.org/licenses/by-nc-sa/4.0/,non_commercial,B,calling song,,,field recording,yes,no,11.0,Fostex FR2-LE,Sennheiser MKH8070,96000,0:44,44.0,High-pass filtered. fr2-le + mkh8070,ok,yes,no,,
1040869,xeno-canto,https://xeno-canto.org/1040869,https://xeno-canto.org/1040869/download,XC1040869-CM-042.wav,,Pholidoptera,griseoaptera,Pholidoptera griseoaptera,Dark Bush-cricket,grasshoppers,Italy,"La Perla nella Selva, Urbe, Province of Savona, Liguria",44.4775,8.6298,900,2025-08-04,21:40,2025-09-21,Cedric Mroczko,https://creativecommons.org/licenses/by-nc-sa/4.0/,non_commercial,B,calling song,,,field recording,no,no,,Sound Devices MixPre3-II,Naiant XX stereo (1st gen.),192000,1:25,85.0,High-pass filtered. mixpre3 + xx,ok,yes,no,,
