recording_id,source,source_url,download_url,file_name,local_path,genus,species,species_latin,species_common_en,group,country,location,latitude,longitude,altitude_m,date_recorded,time_recorded,uploaded_date,recordist,license_url,license_class,quality,sound_type,sex,life_stage,method,animal_seen,playback_used,temperature_c,device,microphone,sample_rate_hz,duration_text,duration_s,remarks,quality_flag,usable_for_training,usable_for_public_release,split,notes
1051143,xeno-canto,https://xeno-canto.org/1051143,https://xeno-canto.org/1051143/download,"XC1051143-Ruspolia-nitidula-R05_0010,-15.07.2025,-Бурундуки,-залежь,-луга,вейник,-09-40,-+25,AAABB.wav",,Roeseliana,roeselii,Roeseliana roeselii,,grasshoppers,Russian Federation,"Burunduki, Krasnoarmeysky District, Chuvashia Republic",55.8089,46.9894,140,2025-07-15,09:30,2025-10-29,Albert Lastukhin,https://creativecommons.org/licenses/by-nc-nd/4.0/,no_derivatives,A,calling song,male,adult,field recording,no,no,25.0,,,96000,2:56,176.0,,ok,no,no,,
1040479,xeno-canto,https://xeno-canto.org/1040479,https://xeno-canto.org/1040479/download,XC1040479-250720-Roesels-Bush-Cricket-Pfäffikersee--Robenhuserried-ZH-CH-R5-(2).wav,,Roeseliana,roeselii,Roeseliana roeselii,,grasshoppers,Switzerland,"Wetzikon, Hinwil District, Zurich",47.3373,8.7974,550,2025-07-20,09:30,2025-09-20,Kai Frueh,https://creativecommons.org/licenses/by-nc-sa/4.0/,non_commercial,A,,uncertain,uncertain,field recording,yes,no,,Zoom H4n,Sennheiser MKE 600,96000,1:27,87.0,Tried to place mic as close as possible. Photos of the cricket can be seen here: https://www.inaturalist.org/observations/300151313,ok,yes,no,,
1040478,xeno-canto,https://xeno-canto.org/1040478,https://xeno-canto.org/1040478/download,XC1040478-250720-Roesels-Bush-Cricket-Pfäffikersee--Robenhuserried-ZH-CH-R5.wav,,Roeseliana,roeselii,Roeseliana roeselii,,grasshoppers,Switzerland,"Wetzikon, Hinwil District, Zurich",47.3373,8.7974,550,2025-07-20,09:30,2025-09-20,Kai Frueh,https://creativecommons.org/licenses/by-nc-sa/4.0/,non_commercial,A,,uncertain,uncertain,field recording,yes,no,,Zoom H4n,Sennheiser MKE 600,96000,6:03,363.0,"Tried to place mic as close as possible. Photos of the cricket can be seen here: https://www.inaturalist.org/observations/300151313
",ok,yes,no,,
1031322,xeno-canto,https://xeno-canto.org/1031322,https://xeno-canto.org/1031322/download,"XC1031322-Roeseliana-roeselii-R05_0023,4.08.2025,-окр.-Сунчелеево,пойменный-луга-р.-Сунча,+23,-9-00,ААB.wav",,Roeseliana,roeselii,Roeseliana roeselii,,grasshoppers,Russian Federation,"Suncheleevo, Aksubayevsky District, Republic of Tatarstan",54.6995,50.6515,80,2025-08-04,09:00,2025-08-21,Albert Lastukhin,https://creativecommons.org/licenses/by-nc-nd/4.0/,no_derivatives,A,calling song,male,adult,field recording,no,no,23.0,,,96000,1:02,62.0,,ok,no,no,,
1031321,xeno-canto,https://xeno-canto.org/1031321,https://xeno-canto.org/1031321/download,"XC1031321-Roeseliana-roeselii-R05_0023,4.08.2025,-окр.-Сунчелеево,пойменный-луга-р.-Сунча,+23,-9-00,1ААAB.wav",,Roeseliana,roeselii,Roeseliana roeselii,,grasshoppers,Russian Federation,"Suncheleevo, Aksubayevsky District, Republic of Tatarstan",54.6995,50.6515,80,2025-08-04,09:00,2025-08-21,Albert Lastukhin,https://creativecommons.org/licenses/by-nc-nd/4.0/,no_derivatives,A,calling song,male,adult,field recording,no,no,23.0,,,96000,0:34,34.0,,ok,no,no,,
969405,xeno-canto,https://xeno-canto.org/969405,https://xeno-canto.org/969405/download,XC969405-R-roeselii-d20_Condat-en-Combrailles-63_20200703_115530+++.wav,,Roeseliana,roeselii,Roeseliana roeselii,,grasshoppers,France,"Puy-de-Dôme, Condat-en-Combraille",45.8421,2.5623,693,2020-07-03,11:55,2025-02-03,Julien Barataud,https://creativecommons.org/licenses/by-sa/4.0/,open,A,calling song,male,adult,field recording,yes,no,20.0,CAT S41,Pettersson U384,384000,0:31,31.0,"diurnal song, original filename: R-roeselii-d20_Condat-en-Combrailles-63_20200703_115530+++, observationlink: https://www.faune-france.org/index.php?m_id=54&id=92818366",ok,yes,yes,,
969404,xeno-canto,https://xeno-canto.org/969404,https://xeno-canto.org/969404/download,XC969404-R-roeselii-d20_Condat-en-Combrailles-63_20200703_115147+++.wav,,Roeseliana,roeselii,Roeseliana roeselii,,grasshoppers,France,"Puy-de-Dôme, Condat-en-Combraille",45.8421,2.5623,693,2020-07-03,11:51,2025-02-03,Julien Barataud,https://creativecommons.org/licenses/by-sa/4.0/,open,A,calling song,male,adult,field recording,yes,no,20.0,CAT S41,Pettersson U384,384000,0:26,26.0,"diurnal song, original filename: R-roeselii-d20_Condat-en-Combrailles-63_20200703_115147+++, observationlink: https://www.faune-france.org/index.php?m_id=54&id=92818366",ok,yes,yes,,
1048118,xeno-canto,https://xeno-canto.org/1048118,https://xeno-canto.org/1048118/download,"XC1048118-Roeseliana-roeselii,-200829_004,-28-30.08.2020,-Орлово,-заимка-1-ААBB.wav",,Roeseliana,roeselii,Roeseliana roeselii,,grasshoppers,Russian Federation,"Kiknursky District, Kirov Oblast",57.4156,47.2787,120,2020-08-29,18:30,2025-10-15,Albert Lastukhin,https://creativecommons.org/licenses/by-nc-nd/4.0/,no_derivatives,B,calling song,male,adult,field recording,no,no,23.0,,,44100,6:49,409.0,,ok,no,no,,
1048117,xeno-canto,https://xeno-canto.org/1048117,https://xeno-canto.org/1048117/download,"XC1048117-Прямокрылый,-200829_004,28-30.08.2020,-Орлово,-заимка-1-ААB+.wav",,Roeseliana,roeselii,Roeseliana roeselii,,grasshoppers,Russian Federation,"Kiknursky District, Kirov Oblast",57.4156,47.2787,120,2020-08-29,18:30,2025-10-15,Albert Lastukhin,https://creativecommons.org/licenses/by-nc-nd/4.0/,no_derivatives,B,calling song,male,adult,field recording,no,no,23.0,,,44100,1:30,90.0,,ok,no,no,,
1048116,xeno-canto,https://xeno-canto.org/1048116,https://xeno-canto.org/1048116/download,"XC1048116-Прямокрылый,-200829_004,28-30.08.2020,-Орлово,-заимка-1-ААB-1.wav",,Roeseliana,roeselii,Roeseliana roeselii,,grasshoppers,Russian Federation,"Kiknursky District, Kirov Oblast",57.4156,47.2787,120,2020-08-29,18:30,2025-10-15,Albert Lastukhin,https://creativecommons.org/licenses/by-nc-nd/4.0/,no_derivatives,B,calling song,male,adult,field recording,no,no,23.0,,,44100,0:09,9.0,,ok,no,no,,
