species_latin,recording_id,source,source_url,download_url,file_name,country,quality,quality_flag,license_class,license_url,method,playback_used,animal_seen,sample_rate_hz,duration_s,recordist,selection_rank,selection_reason
Tettigonia viridissima,969762,xeno-canto,https://xeno-canto.org/969762,https://xeno-canto.org/969762/download,XC969762-T-viridissima-c20_St-Vallier-de-Thiey-06_2020-07-07_M00132+++.wav,France,A,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,26.0,Julien Barataud,1,quality=A; license=open; method=field recording; playback=no; sample_rate=384000
Tettigonia viridissima,1095466,xeno-canto,https://xeno-canto.org/1095466,https://xeno-canto.org/1095466/download,XC1095466-T-viridissima-d27_Puerto-Ragua-ES-GR_2025-08-16_16_52_22_M00039++.wav,Spain,A,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,30.0,Julien Barataud,2,quality=A; license=open; method=field recording; playback=no; sample_rate=384000
Tettigonia viridissima,969764,xeno-canto,https://xeno-canto.org/969764,https://xeno-canto.org/969764/download,XC969764-T-viridissima-c30_Port-la-Nelle-11_2022-06-16_22_38_19_M00060+++.wav,France,A,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,30.0,Julien Barataud,3,quality=A; license=open; method=field recording; playback=no; sample_rate=384000
Tettigonia viridissima,969765,xeno-canto,https://xeno-canto.org/969765,https://xeno-canto.org/969765/download,XC969765-T-viridissima-d19_Sarroux-19_2021-09-30_14_35_08_M00037+++.wav,France,A,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,51.0,Julien Barataud,4,quality=A; license=open; method=field recording; playback=no; sample_rate=384000
Tettigonia viridissima,907281,xeno-canto,https://xeno-canto.org/907281,https://xeno-canto.org/907281/download,XC907281-160626-001.wav,Kazakhstan,A,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,96000,110.0,Dragan Chobanov,5,quality=A; license=open; method=field recording; playback=no; sample_rate=96000
Tettigonia viridissima,1060772,xeno-canto,https://xeno-canto.org/1060772,https://xeno-canto.org/1060772/download,XC1060772-XC_Tettigonia-viridissima_Montcenis_02072025_1.wav,France,A,ok,open,https://creativecommons.org/publicdomain/zero/1.0/,field recording,no,no,44100,7.0,Lionel Triboulin,6,quality=A; license=open; method=field recording; playback=no; sample_rate=44100
Tettigonia viridissima,1060773,xeno-canto,https://xeno-canto.org/1060773,https://xeno-canto.org/1060773/download,XC1060773-XC_Tettigonia-viridissima_Montcenis_02072025_2.wav,France,A,ok,open,https://creativecommons.org/publicdomain/zero/1.0/,field recording,no,no,44100,15.0,Lionel Triboulin,7,quality=A; license=open; method=field recording; playback=no; sample_rate=44100
Tettigonia viridissima,847750,xeno-canto,https://xeno-canto.org/847750,https://xeno-canto.org/847750/download,XC847750-BL20230626-04010015.wav,Netherlands,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,2.0,Baudewijn Odé,8,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Tettigonia viridissima,847751,xeno-canto,https://xeno-canto.org/847751,https://xeno-canto.org/847751/download,XC847751-BL20230626-04010016.wav,Netherlands,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,2.0,Baudewijn Odé,9,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Tettigonia viridissima,847753,xeno-canto,https://xeno-canto.org/847753,https://xeno-canto.org/847753/download,XC847753-BL20230626-04010018.wav,Netherlands,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,2.0,Baudewijn Odé,10,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Tettigonia viridissima,847757,xeno-canto,https://xeno-canto.org/847757,https://xeno-canto.org/847757/download,XC847757-BL20230626-04010022.wav,Netherlands,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,2.0,Baudewijn Odé,11,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
