species_latin,recording_id,segment_index,start_s,duration_s,segment_path,spectrogram_path,visual_qc,qc_reason,reviewed_by,notes,auto_qc,auto_reason,auto_score,active_pixel_ratio,contrast_stddev,mean_luminance,audio_band_tag,audio_band_reason,dominant_freq_hz,low_band_ratio,mid_band_ratio,high_band_ratio,species_audio_median_hz,species_audio_mean_hz,species_audio_min_hz,species_audio_max_hz,species_audio_count,species_audio_status,species_audio_threshold_hz
Tettigonia viridissima,969762,0,0.000,3.000,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/segments/tettigonia-viridissima/XC969762_seg000_start000.000s.wav,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/spectrograms/tettigonia-viridissima/XC969762_seg000_start000.000s.png,review,unreviewed,,,auto_keep_candidate,structured_signal,0.8388,0.0678,45.2509,96.1626,mixed,mixed_band,10375.0000,0.0013,0.8494,0.1493,9704.7500,9674.5511,8281.0000,11996.5000,88,audible_list_keep,28000.0
Tettigonia viridissima,969762,1,3.000,3.000,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/segments/tettigonia-viridissima/XC969762_seg001_start003.000s.wav,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/spectrograms/tettigonia-viridissima/XC969762_seg001_start003.000s.png,review,unreviewed,,,auto_keep_candidate,structured_signal,1.0000,0.1228,45.9704,87.6062,mixed,mixed_band,10393.0000,0.0010,0.8713,0.1277,9704.7500,9674.5511,8281.0000,11996.5000,88,audible_list_keep,28000.0
Tettigonia viridissima,969762,2,6.000,3.000,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/segments/tettigonia-viridissima/XC969762_seg002_start006.000s.wav,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/spectrograms/tettigonia-viridissima/XC969762_seg002_start006.000s.png,review,unreviewed,,,auto_keep_candidate,structured_signal,1.0000,0.1234,46.0686,87.8110,mixed,mixed_band,10393.5000,0.0010,0.8946,0.1044,9704.7500,9674.5511,8281.0000,11996.5000,88,audible_list_keep,28000.0
Tettigonia viridissima,969762,3,9.000,3.000,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/segments/tettigonia-viridissima/XC969762_seg003_start009.000s.wav,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/spectrograms/tettigonia-viridissima/XC969762_seg003_start009.000s.png,review,unreviewed,,,auto_keep_candidate,structured_signal,1.0000,0.0876,45.9456,93.3170,mixed,mixed_band,10308.5000,0.0010,0.8727,0.1263,9704.7500,9674.5511,8281.0000,11996.5000,88,audible_list_keep,28000.0
Tettigonia viridissima,969762,4,12.000,3.000,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/segments/tettigonia-viridissima/XC969762_seg004_start012.000s.wav,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/spectrograms/tettigonia-viridissima/XC969762_seg004_start012.000s.png,review,unreviewed,,,auto_keep_candidate,structured_signal,0.7850,0.0611,45.3387,98.2274,mixed,mixed_band,10554.0000,0.0013,0.8602,0.1385,9704.7500,9674.5511,8281.0000,11996.5000,88,audible_list_keep,28000.0
Tettigonia viridissima,969762,5,15.000,3.000,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/segments/tettigonia-viridissima/XC969762_seg005_start015.000s.wav,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/spectrograms/tettigonia-viridissima/XC969762_seg005_start015.000s.png,review,unreviewed,,,auto_keep_candidate,structured_signal,0.9488,0.0814,45.1711,94.8825,mixed,mixed_band,10206.0000,0.0008,0.8910,0.1082,9704.7500,9674.5511,8281.0000,11996.5000,88,audible_list_keep,28000.0
Tettigonia viridissima,969762,6,18.000,3.000,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/segments/tettigonia-viridissima/XC969762_seg006_start018.000s.wav,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/spectrograms/tettigonia-viridissima/XC969762_seg006_start018.000s.png,review,unreviewed,,,auto_keep_candidate,structured_signal,1.0000,0.0967,45.8698,91.9207,mixed,mixed_band,10253.5000,0.0009,0.8643,0.1348,9704.7500,9674.5511,8281.0000,11996.5000,88,audible_list_keep,28000.0
Tettigonia viridissima,969762,7,21.000,3.000,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/segments/tettigonia-viridissima/XC969762_seg007_start021.000s.wav,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/spectrograms/tettigonia-viridissima/XC969762_seg007_start021.000s.png,review,unreviewed,,,auto_keep_candidate,structured_signal,0.9951,0.0867,45.6685,94.6358,mixed,mixed_band,10180.5000,0.0010,0.8593,0.1397,9704.7500,9674.5511,8281.0000,11996.5000,88,audible_list_keep,28000.0
Tettigonia viridissima,1095466,0,0.000,3.000,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/segments/tettigonia-viridissima/XC1095466_seg000_start000.000s.wav,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/spectrograms/tettigonia-viridissima/XC1095466_seg000_start000.000s.png,review,unreviewed,,,auto_keep_candidate,structured_signal,0.9763,0.0993,26.6410,115.6300,mixed,mixed_band,9325.0000,0.0115,0.8958,0.0927,9704.7500,9674.5511,8281.0000,11996.5000,88,audible_list_keep,28000.0
Tettigonia viridissima,1095466,1,3.000,3.000,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/segments/tettigonia-viridissima/XC1095466_seg001_start003.000s.wav,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/spectrograms/tettigonia-viridissima/XC1095466_seg001_start003.000s.png,review,unreviewed,,,auto_keep_candidate,structured_signal,0.9979,0.1021,26.4551,118.2048,mixed,mixed_band,10448.0000,0.0118,0.8754,0.1128,9704.7500,9674.5511,8281.0000,11996.5000,88,audible_list_keep,28000.0
